unix,date,time,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1.62361E+12,13-06-21,19:00:00,SOL/USDT,38.39,38.485,37.553,38.1,243095.353,9250340.06,16422
1.62361E+12,13-06-21,18:00:00,SOL/USDT,36.985,39,36.974,38.382,571669.803,21777686.24,38315
1.6236E+12,13-06-21,17:00:00,SOL/USDT,36.016,37.257,35.8,36.986,253309.304,9292337.469,16035
1.6236E+12,13-06-21,16:00:00,SOL/USDT,34.964,36.221,34.905,36.003,290409.626,10405645.79,14527
1.6236E+12,13-06-21,15:00:00,SOL/USDT,34.813,35.15,34.72,34.969,103573.094,3618300.184,6627
1.62359E+12,13-06-21,14:00:00,SOL/USDT,35.461,35.614,34.72,34.813,198464.008,6964649.201,11425
1.62359E+12,13-06-21,13:00:00,SOL/USDT,35.646,35.728,35.393,35.461,85467.877,3037251.757,5634
1.62359E+12,13-06-21,12:00:00,SOL/USDT,35.851,36.163,35.5,35.658,103879.511,3720433.048,6846
1.62358E+12,13-06-21,11:00:00,SOL/USDT,36.074,36.147,35.723,35.856,106715.449,3835087.787,6667
1.62358E+12,13-06-21,10:00:00,SOL/USDT,35.956,36.382,35.834,36.065,111468.15,4027845.653,6869
1.62357E+12,13-06-21,09:00:00,SOL/USDT,35.953,36.1,35.727,35.956,88338.538,3170733.67,5476
1.62357E+12,13-06-21,08:00:00,SOL/USDT,35.74,36.233,35.505,35.956,141535.913,5071308.191,9480
1.62357E+12,13-06-21,07:00:00,SOL/USDT,36.049,36.273,35.615,35.743,107676.697,3862208.171,6752
1.62356E+12,13-06-21,06:00:00,SOL/USDT,35.724,36.123,35.302,36.049,163675.474,5829412.44,8468
1.62356E+12,13-06-21,05:00:00,SOL/USDT,35.889,35.959,35.457,35.734,101458.871,3625565.439,6455
1.62356E+12,13-06-21,04:00:00,SOL/USDT,35.753,36.121,35.552,35.89,123008.167,4412591.524,6382
1.62355E+12,13-06-21,03:00:00,SOL/USDT,36.424,36.424,35.526,35.753,156885.338,5635308.326,11220
1.62355E+12,13-06-21,02:00:00,SOL/USDT,37.019,37.181,36.369,36.425,74890.977,2753648.225,5519
1.62355E+12,13-06-21,01:00:00,SOL/USDT,37.031,37.355,36.798,37.011,76763.156,2846718.002,5342
1.62354E+12,13-06-21,00:00:00,SOL/USDT,36.492,37.143,36.119,37.058,126519.912,4642471.692,7818
1.62354E+12,12-06-21,23:00:00,SOL/USDT,37.057,37.271,36.277,36.476,70873.249,2610634.029,5480
1.62354E+12,12-06-21,22:00:00,SOL/USDT,37.317,37.445,36.557,37.071,106372.268,3929916.393,7223
1.62353E+12,12-06-21,21:00:00,SOL/USDT,37.05,37.6,36.806,37.3,145985.64,5433637.744,10396
1.62353E+12,12-06-21,20:00:00,SOL/USDT,36.472,37.199,36.471,37.04,133606.171,4926865.802,7115
1.62352E+12,12-06-21,19:00:00,SOL/USDT,36.69,37.036,36.376,36.441,109458.323,4016366.665,7102
1.62352E+12,12-06-21,18:00:00,SOL/USDT,36.911,37.05,36.574,36.69,111359.255,4100428.707,5880
1.62352E+12,12-06-21,17:00:00,SOL/USDT,36.962,37.315,36.76,36.886,148963.732,5522872.045,8037
1.62351E+12,12-06-21,16:00:00,SOL/USDT,36.587,37.266,36.438,36.959,126832.775,4674322.396,9222
1.62351E+12,12-06-21,15:00:00,SOL/USDT,36.48,36.976,36.222,36.586,159656.953,5834573.062,9497
1.62351E+12,12-06-21,14:00:00,SOL/USDT,36.847,36.928,36.125,36.479,176798.238,6447479.398,10809
1.6235E+12,12-06-21,13:00:00,SOL/USDT,37.172,37.266,36.759,36.847,173313.644,6416845.032,9579
1.6235E+12,12-06-21,12:00:00,SOL/USDT,36.65,37.64,36.301,37.149,361478.993,13416119.48,17982
1.6235E+12,12-06-21,11:00:00,SOL/USDT,36.466,36.65,35.978,36.624,170679.254,6205770.168,10837
1.62349E+12,12-06-21,10:00:00,SOL/USDT,36.206,36.6,35,36.452,406656.875,14559770.83,23239
1.62349E+12,12-06-21,09:00:00,SOL/USDT,35.769,36.698,35.519,36.202,226651.005,8192055.363,14613
1.62348E+12,12-06-21,08:00:00,SOL/USDT,36.087,36.684,35.629,35.764,265912.719,9603071.447,14792
1.62348E+12,12-06-21,07:00:00,SOL/USDT,35.638,36.5,35.63,36.122,276961.954,9998582.137,16458
1.62348E+12,12-06-21,06:00:00,SOL/USDT,35.253,35.79,35.036,35.636,205574.349,7294873.006,12479
1.62347E+12,12-06-21,05:00:00,SOL/USDT,35.023,35.591,34.56,35.245,263510.641,9249795.644,15004
1.62347E+12,12-06-21,04:00:00,SOL/USDT,35.426,36.488,34.936,35.026,458576.744,16412185.54,23992
1.62347E+12,12-06-21,03:00:00,SOL/USDT,34.533,35.95,34.415,35.431,276512.429,9732596.462,18727
1.62346E+12,12-06-21,02:00:00,SOL/USDT,34.827,35.365,34.1,34.531,363049.285,12598940.4,21650
1.62346E+12,12-06-21,01:00:00,SOL/USDT,35.617,35.825,34.5,34.851,276325.041,9671860.44,18274
1.62346E+12,12-06-21,00:00:00,SOL/USDT,36.131,36.187,35.03,35.614,181133.461,6438490.212,13904
1.62345E+12,11-06-21,23:00:00,SOL/USDT,36.222,36.394,35.193,36.157,245744.362,8791078.405,14738
1.62345E+12,11-06-21,22:00:00,SOL/USDT,36.331,37.247,35.939,36.221,251769.217,9219971.026,15941
1.62345E+12,11-06-21,21:00:00,SOL/USDT,36.107,36.672,35.074,36.356,343562.596,12369959.38,22882
1.62344E+12,11-06-21,20:00:00,SOL/USDT,37.143,37.31,36.075,36.107,247760.019,9091022.333,15802
1.62344E+12,11-06-21,19:00:00,SOL/USDT,37.814,37.881,37.06,37.143,124402.682,4656126.694,7401
1.62343E+12,11-06-21,18:00:00,SOL/USDT,37.616,37.932,36.808,37.82,208040.155,7750313.469,12365
1.62343E+12,11-06-21,17:00:00,SOL/USDT,37.117,37.68,36.823,37.596,259625.472,9670997.15,15157
1.62343E+12,11-06-21,16:00:00,SOL/USDT,37.806,38.27,36.978,37.12,333559.397,12523532.35,20648
1.62342E+12,11-06-21,15:00:00,SOL/USDT,39.211,39.246,37.75,37.8,289523.256,11130448.36,19017
1.62342E+12,11-06-21,14:00:00,SOL/USDT,39.631,39.683,39.132,39.186,100086.77,3946484.7,6584
1.62342E+12,11-06-21,13:00:00,SOL/USDT,39.101,39.99,39.057,39.628,141522.078,5599186.293,9399
1.62341E+12,11-06-21,12:00:00,SOL/USDT,39.351,39.413,38.889,39.11,131890.671,5155450.345,8952
