unix,date,time,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1.61632E+12,21-03-21,11:00:00,USDC/USDT,0.9997,0.9999,0.9996,0.9998,2595899.74,2595341.242,1186
1.61632E+12,21-03-21,10:00:00,USDC/USDT,0.9997,0.9998,0.9996,0.9996,3223620.16,3222675.761,1199
1.61632E+12,21-03-21,09:00:00,USDC/USDT,0.9998,0.9999,0.9996,0.9997,6222279.71,6220770.443,1817
1.61631E+12,21-03-21,08:00:00,USDC/USDT,0.9996,1,0.9995,0.9998,4685437.36,4684639.062,1117
1.61631E+12,21-03-21,07:00:00,USDC/USDT,0.9995,0.9996,0.9994,0.9996,2231704.65,2230658.334,1196
1.61631E+12,21-03-21,06:00:00,USDC/USDT,0.9997,0.9998,0.9995,0.9995,2994514.93,2993407.373,1306
1.6163E+12,21-03-21,05:00:00,USDC/USDT,0.9999,0.9999,0.9996,0.9998,4257803.7,4256656.378,1385
1.6163E+12,21-03-21,04:00:00,USDC/USDT,0.9997,1.0003,0.9996,0.9998,6377767.59,6377009.64,2392
1.6163E+12,21-03-21,03:00:00,USDC/USDT,0.9997,0.9999,0.9996,0.9997,3497285.17,3496392.683,2208
1.61629E+12,21-03-21,02:00:00,USDC/USDT,0.9996,0.9999,0.9996,0.9997,2399244.28,2398725.921,1039
1.61629E+12,21-03-21,01:00:00,USDC/USDT,0.9996,0.9997,0.9996,0.9996,1159243.73,1158840.781,747
1.61628E+12,21-03-21,00:00:00,USDC/USDT,1,1,0.9995,0.9996,3954428.08,3953291.236,1856
1.61628E+12,20-03-21,23:00:00,USDC/USDT,1,1.0001,0.9999,1,2493702.36,2493749.788,1237
1.61628E+12,20-03-21,22:00:00,USDC/USDT,1,1,0.9999,0.9999,1445834.12,1445741.345,1158
1.61627E+12,20-03-21,21:00:00,USDC/USDT,1,1,0.9998,1,2291427.28,2291158.554,1308
1.61627E+12,20-03-21,20:00:00,USDC/USDT,0.9999,1,0.9994,0.9999,4088669.27,4088058.367,2249
1.61627E+12,20-03-21,19:00:00,USDC/USDT,1,1,0.9998,1,3164128.68,3163911.388,1855
1.61626E+12,20-03-21,18:00:00,USDC/USDT,0.9999,1.0001,0.9997,1,3829566.95,3829045.617,2659
1.61626E+12,20-03-21,17:00:00,USDC/USDT,1,1.0001,0.9998,0.9999,3398189.33,3398056.142,1921
1.61626E+12,20-03-21,16:00:00,USDC/USDT,0.9998,1,0.9997,1,3446925.84,3446601.064,1876
1.61625E+12,20-03-21,15:00:00,USDC/USDT,0.9997,0.9998,0.9996,0.9998,3958206.21,3957016.596,2276
1.61625E+12,20-03-21,14:00:00,USDC/USDT,0.9998,0.9999,0.9995,0.9997,3823646.84,3822390.358,1920
1.61625E+12,20-03-21,13:00:00,USDC/USDT,0.9998,1,0.9996,0.9998,4313429.59,4312561.288,2275
1.61624E+12,20-03-21,12:00:00,USDC/USDT,1,1.0001,0.9997,0.9998,3606076.17,3605759.06,2147
1.61624E+12,20-03-21,11:00:00,USDC/USDT,1,1.0001,0.9998,0.9999,3626617.12,3626452.769,1639
1.61623E+12,20-03-21,10:00:00,USDC/USDT,1,1.0001,0.9998,0.9999,2319173.48,2319020.457,1751
1.61623E+12,20-03-21,09:00:00,USDC/USDT,0.9999,1,0.9998,0.9999,2183196,2182955.4,1464
1.61623E+12,20-03-21,08:00:00,USDC/USDT,0.9998,0.9999,0.9996,0.9998,2547072.75,2546572.65,2181
1.61622E+12,20-03-21,07:00:00,USDC/USDT,0.9998,0.9999,0.9998,0.9998,1193689.2,1193511.351,985
